empID,jobTitle
empID,jobTitle
603458, Asst F&B Coordinator
604023, Asst HSE Coordinator
603030, Commis 1
603398, Commis 1
603268, Commis 1
603079, commis 1
603087, commis 1
603417, Commis 1
602850, Commis 1
602785, Commis 1
603683, Exec Sous Chef
603267, Jr. Chef de partie
603192, Purchase Manager
603473, Restaurant Manager
601453, Sr. Steward
602881, Sr. Steward
603482, Sr. Steward
603708, Sr. Steward
602880, Sr. Steward
603109, Sr. Steward
603127, Sr. Steward
603191, Sr. Steward
602854, Sr. Steward
603202, Sr. Steward
602717, Sr. Steward
603504, Sr. Steward
603438, Sr. Waiter
603453, Sr. Waiter
603627, Sr. Waiter
603332, Sr. Waiter
600483, Sr.Chef de partie 
603634, Supervisor
603067, Supervisor
603068, Supervisor
603362, Supervisor
603840, Tr. Supervisor
602317, Tr. Supervisor
603669, Waitress
602776,Assist. Store Keeper
601748,Asst F&B Office Manager
604391,Asst. Catering Supervisor
602716,Asst. Operations Manager
603233,Asst. Store Keeper
603249,Barista
603221,Barista
31355,BOH Manager
603931,Catering Manager
602121,Catering Supervisor
34792,Catering Supervisor
602693,Catering Supervisor
601504,Chef de partie
602253,Chef de partie
32891,Chef de partie
601390,Chef de partie
602400,Chef de partie
604694,Chef de Partie
601778,Chief Operating Officer
602636,Commis 1
602201,Commis 2
601939,Commis 3
603760,Cost Controller
39580,Finance Manager
603818,Head of Institutional catering Operations
604226,HR Admin Asst.
604234,HSE Officer
603748,Income Auditor
603989,Jr. Sous Chef
603990,Jr. Sous Chef
601620,Jr. Stewarding Supervisor
601144,Kitchen Steward
35066,Operations Manager
604072,Operations Manager
602034,People Operations Officer
604249,Sr.Chef De Partie
602229,Stewarding Supervisor
603047,Waiter
602987,Waiter
603219,Waiter
603103,Waitress
